object number,1kind,2UG,3UR,4UI,5UZ,6GR,7GI,8GZ,9RI,10RZ,11IZ,12UGER,13URER,14UIER,15UZER,16GRER,17GIER,18GZER,19RIER,20RZER,21IZER,22contamination?,23ugal,24g gal,25r gal,26i gal,27z gal,33gal ratio,34fdistance,37HRV
1,6,0.797,1.036,1.872,1.824,0.239,1.075,1.027,0.836,0.788,-0.048,0.452,0.458,0.451,0.522,0.132,0.106,0.284,0.129,0.293,0.282,0,13.8447,12.4455,11.8601,11.5114,11.3811,0.5,0.763,440
2,6,0.663,1.042,1.203,1.338,0.379,0.54,0.675,0.161,0.295,0.134,0.08,0.08,0.081,0.107,0.024,0.027,0.076,0.027,0.076,0.076,0,15.295,13.9743,13.4761,13.1462,13.0729,0.48,0.29,4097
3,-11,1.426,2.11,2.426,2.568,0.684,1,1.142,0.315,0.457,0.142,0.204,0.204,0.204,0.211,0.034,0.035,0.063,0.032,0.061,0.062,0,13.6829,12.2904,11.4317,10.4109,10.7427,0.851,0.514,1587
4,2,-0.808,-0.511,0.012,0.625,0.297,0.821,1.433,0.524,1.136,0.612,0.71,0.778,0.793,0.932,0.63,0.648,0.812,0.722,0.872,0.886,0,13.6364,12.2226,11.529,12.2425,10.9059,0.934,0.857,240
5,6,1.42,2.122,2.498,2.715,0.702,1.078,1.295,0.376,0.593,0.217,0.1,0.1,0.1,0.104,0.018,0.018,0.034,0.015,0.033,0.033,0,13.4111,11.5606,10.6907,10.2551,9.9321,0.432,0.249,638
6,6,2.072,2.725,3.003,3.183,0.653,0.931,1.111,0.278,0.458,0.18,0.551,0.551,0.551,0.558,0.055,0.06,0.108,0.055,0.105,0.108,0,13.8408,12.3209,11.4962,11.0826,10.6959,0.851,0.502,1587
7,6,1.339,1.994,2.312,2.617,0.655,0.973,1.278,0.318,0.623,0.305,0.2,0.2,0.2,0.213,0.03,0.032,0.079,0.03,0.078,0.079,0,15.1122,12.8527,11.5001,10.7691,10.1956,0.339,0.258,1732
8,-11,1.748,2.487,2.959,3.123,0.739,1.211,1.376,0.472,0.636,0.164,0.276,0.275,0.275,0.278,0.03,0.029,0.05,0.024,0.047,0.047,0,13.4676,11.55,10.6029,10.2233,9.9465,0.795,0.389,1261
9,2,1.481,2.075,2.416,2.622,0.593,0.935,1.141,0.342,0.548,0.206,0.134,0.134,0.134,0.137,0.02,0.02,0.035,0.018,0.034,0.034,0,15.1734,13.6759,12.8493,12.3368,12.0465,0.609,0.139,2132
10,2,0.733,1.346,1.417,2.188,0.613,0.684,1.454,0.071,0.841,0.771,0.621,0.616,0.639,0.678,0.208,0.269,0.352,0.257,0.342,0.383,0,14.2293,13.1436,12.3862,12.0316,11.7885,0.932,0.862,588
11,-11,-1.047,-0.836,0.147,1.756,0.212,1.195,2.803,0.983,2.592,1.609,0.606,0.664,0.607,0.538,0.645,0.586,0.514,0.646,0.581,0.515,0,14.2293,13.1436,12.3862,12.0316,11.7885,0.932,1.237,588
12,2,0.849,1.258,1.493,1.55,0.409,0.644,0.701,0.235,0.292,0.057,0.162,0.162,0.163,0.194,0.036,0.039,0.113,0.039,0.113,0.114,0,13.9233,12.3872,11.4757,11.0193,10.7094,0.892,0.374,1574
13,8,0.884,1.2,1.378,1.512,0.316,0.494,0.628,0.179,0.312,0.134,0.065,0.065,0.066,0.084,0.018,0.02,0.055,0.02,0.055,0.056,0,13.4453,12.5391,12.0544,11.7906,11.4275,0.652,0.465,2382
14,6,1.037,1.323,1.57,1.66,0.287,0.533,0.624,0.247,0.337,0.09,0.188,0.189,0.191,0.227,0.044,0.052,0.134,0.054,0.135,0.137,0,16.6528,15.4559,14.9512,14.689,14.4771,0.735,0.343,5117
15,2,1.117,1.587,1.936,2.056,0.47,0.818,0.938,0.348,0.468,0.12,0.107,0.107,0.107,0.116,0.023,0.025,0.049,0.023,0.049,0.05,0,14.2924,12.5732,11.5197,10.9996,10.6416,0.133,0.219,775
16,1,1.43,1.766,2.044,2.455,0.336,0.614,1.025,0.278,0.689,0.411,0.451,0.451,0.454,0.476,0.077,0.091,0.17,0.094,0.171,0.179,0,17.8672,14.955,16.0846,15.2437,15.8962,0.917,0.338,320
17,7,0.824,1.54,1.583,0.989,0.716,0.759,0.165,0.043,-0.551,-0.594,0.515,0.51,0.523,0.72,0.145,0.186,0.528,0.172,0.523,0.536,0,99,99,99,99,99,0.932,0.806,588
18,6,1.136,1.89,2.36,2.434,0.754,1.224,1.298,0.47,0.543,0.073,0.296,0.295,0.295,0.323,0.055,0.057,0.143,0.052,0.141,0.142,0,14.2588,12.3563,11.529,11.0664,10.8125,0.933,0.457,4129
19,1,1.877,2.629,3.058,3.281,0.753,1.181,1.404,0.429,0.651,0.223,0.089,0.089,0.089,0.091,0.01,0.01,0.021,0.009,0.02,0.02,0,13.5465,11.4663,10.6356,10.2291,9.9627,0.783,0.148,1090
20,-11,1.81,2.595,3.042,3.251,0.785,1.232,1.441,0.447,0.656,0.209,0.231,0.23,0.23,0.232,0.022,0.022,0.037,0.018,0.035,0.034,0,13.1722,11.1801,10.3822,9.9303,9.5657,0.685,0.349,433
21,8,-0.042,-0.532,0.045,2.434,-0.491,0.086,2.476,0.577,2.967,2.39,0.996,0.979,0.997,1.008,0.709,0.733,0.749,0.71,0.727,0.75,0,14.112,11.8884,11.0037,10.4727,9.9706,0.11,0.938,666
22,2,1.149,1.724,2.073,2.377,0.575,0.924,1.228,0.349,0.653,0.304,0.198,0.198,0.199,0.216,0.044,0.049,0.096,0.048,0.095,0.098,0,13.6532,11.5775,11.9813,10.2584,9.8928,0.71,0.497,1206
23,6,1.037,1.506,1.768,1.846,0.469,0.732,0.81,0.262,0.34,0.078,0.117,0.117,0.118,0.139,0.026,0.03,0.079,0.029,0.079,0.08,0,14.712,13.3085,12.7445,12.352,12.0632,0.5,0.337,2728
24,6,0.697,1.229,1.378,1.595,0.533,0.681,0.898,0.148,0.365,0.217,0.033,0.033,0.033,0.039,0.012,0.013,0.024,0.012,0.023,0.024,0,13.3119,12.3203,11.6397,11.2987,11.1361,0.411,0.121,815
25,6,1.341,1.785,2.064,2.097,0.444,0.722,0.756,0.279,0.312,0.033,0.303,0.303,0.304,0.343,0.046,0.051,0.166,0.052,0.167,0.168,0,14.7401,12.8006,11.9535,11.5823,11.2937,0.32,0.21,1352
26,2,0.845,1.195,1.107,1.763,0.35,0.262,0.917,-0.089,0.567,0.656,0.609,0.614,0.643,0.74,0.187,0.266,0.452,0.278,0.459,0.497,0,14.7049,13.4517,12.6506,12.4345,12.1814,0.925,0.697,605
27,-11,1.465,2.192,2.566,2.714,0.726,1.1,1.248,0.374,0.522,0.148,0.044,0.044,0.044,0.046,0.008,0.008,0.014,0.007,0.013,0.013,0,99,99,99,99,99,0.793,0.143,472
28,6,1.052,1.716,2.005,2.218,0.664,0.953,1.166,0.289,0.502,0.213,0.112,0.111,0.112,0.119,0.024,0.026,0.049,0.024,0.048,0.049,0,15.329,13.7401,13.0239,12.6612,12.4594,0.817,0.303,5710
29,2,1.023,1.434,1.687,1.856,0.411,0.664,0.833,0.253,0.422,0.169,0.031,0.031,0.031,0.035,0.009,0.01,0.02,0.009,0.019,0.02,0,13.7876,12.6392,12.1061,11.8873,11.6119,0.387,0.098,1715
30,2,0.478,0.944,1.288,1.323,0.466,0.809,0.845,0.344,0.379,0.035,0.624,0.624,0.626,0.751,0.195,0.202,0.461,0.201,0.46,0.463,0,14.2577,13.0226,12.729,11.8304,11.531,0.857,1.017,1300
31,6,-1.634,-1.227,-0.604,1.511,0.407,1.029,3.144,0.623,2.737,2.115,0.889,0.962,1,0.968,0.769,0.816,0.776,0.895,0.859,0.901,0,13.6224,11.8041,10.8934,10.3899,9.9919,0.467,0.666,877
32,6,0.756,1.718,1.139,3.046,0.962,0.383,2.29,-0.579,1.328,1.907,1.072,1.019,1.131,1.074,0.647,0.812,0.73,0.74,0.65,0.814,0,15.6438,14.3873,13.9401,13.6702,13.8219,0.524,1.612,1231
